#x y y
500 444.40 1419.50
1000 1972.50 5876.70
1500 5055.20 271.20
2000 9824.30 362.00
2500 17153.80 472.20
3000 26158.00 558.30
3500 34430.50 640.30
4000 44174.10 701.70
4500 61188.80 737.50
5000 75284.90 918.50
5500 95195.20 991.40
6000 112857.10 1045.40
6500 139880.40 1134.80
7000 145744.30 1155.50
7500 186094.50 1286.60
8000 200819.30 1342.10
8500 229624.70 1414.40
9000 278261.40 1592.30
9500 294072.50 1660.40
10000 301817.90 1604.00
