#x y                                                                            
0 0.000525210                                                                   
1 0.001941043                                                                   
2 0.000000000                                                                   
3 0.000734669                                                                   
4 0.007429683                                                                   
5 0.008193562                                                                   
6 0.015348890                                                                   
7 0.015347302                                                                   
8 0.007416704                                                                   
9 0.002823501                                                                   
10 0.000363802                                                                  
11 0.001942246
